timestamp, clocks.current.sm [MHz], pstate, utilization.gpu [%]
2026/08/31 16:34:42.957, 1500 MHz, P1, 0 %
2026/08/31 16:34:42.988, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.019, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.050, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.082, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.113, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.145, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.176, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.207, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.239, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.271, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.301, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.331, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.361, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.392, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.424, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.454, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.485, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.516, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.546, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.577, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.608, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.638, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.669, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.700, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.732, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.763, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.793, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.823, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.853, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.884, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.914, 1500 MHz, P1, 0 %
